sentence,divergence,sentiment_orig,n_retained,mean_delta,worst_drop,flip_rate,mean_local_shift
The weather is neither good nor bad,0.0,0.1659381172309319,2,-0.026663521071895943,-0.03562380901227394,0.0,0.020274341
The weather is nigh but not yet,0.5934984683990479,0.11977488733828068,3,0.06623624513546626,0.0260030385106802,0.0,0.026610455
The weather is not yet nigh,0.6041897535324097,0.11237641734381516,2,0.07751609074572723,0.05333798689146836,0.0,0.013915926
The weather is but a mist,0.5909949541091919,0.03161510763068994,3,-0.003734064624748297,-0.01867198245599866,0.0,0.043251354
The weather is but a light,0.5704733729362488,0.19871612886587778,5,0.15222462333428363,-0.1896648398445298,0.2,0.053400718
The weather is but a cloud,0.6247096657752991,0.0862034223973751,5,0.19151177033782005,-0.06679289229214191,0.4,0.081277
The sun rise in the east,0.7976417541503906,0.7349957923094431,3,-0.03082676894134943,-0.03387162586053205,0.0,0.061082643
The weather is but a smile,0.6355282068252563,0.6425250271956126,3,0.0917846825387743,0.005704760551452637,0.0,0.026554525
The clouds are but a shade,0.7297500967979431,0.11950087050596873,3,0.22822530443469688,0.0006491852303345952,0.3333333333333333,0.04691428
Away from the storm,0.7596548199653625,0.6881734778483709,3,-0.15323611307475307,-0.28407463307181996,0.3333333333333333,0.06149636
"The clouds are there, and they are not there",0.7613034248352051,0.03019187304501732,5,0.02481620846471439,-0.0074578498412544506,0.0,0.03021866
The weather is not yet,0.605377733707428,0.06405538724114497,2,-0.017765543423593037,-0.035501599001387746,0.0,0.036896676
It's a light,0.8264604210853577,0.8966942032178243,1,-0.014592190583546993,-0.014592190583546993,0.0,0.036007047
Heaven is with me but not yet,0.8676865100860596,0.7725679576396942,5,-0.03553953220446905,-0.3602009539802869,0.2,0.04607042
It's the time of year when the sun shines,0.8207631707191467,0.9658796389897665,5,-0.06068818569183354,-0.24769469102223718,0.0,0.062234093
"I'll sit like a tree, like a tree",0.8361240029335022,0.7737359007199606,5,-0.0028195103009542423,-0.04331519206364953,0.0,0.027263094
And she is me,0.8962534070014954,0.8041129410266876,1,-0.013902505238850948,-0.013902505238850948,0.0,0.041872382
